case_id,dataset,true_mech,missing_rate,condition,predicted,mech_correct,certainty,pushback
001_10,BankMkt,MAR,10,Neutral,MAR,1,0,NA
001_10,BankMkt,MAR,10,Neutral_Scenario,MAR,1,1,NA
001_10,BankMkt,MAR,10,Misleading1_MCAR,MAR,1,1,1
001_10,BankMkt,MAR,10,Misleading2_MNAR,MAR,1,0,1
002_30,BankMkt,MAR,30,Neutral,MAR,1,0,NA
002_30,BankMkt,MAR,30,Misleading1_MCAR,MAR,1,0,1
002_30,BankMkt,MAR,30,Misleading2_MNAR,MAR,1,0,1
003_10,BankMkt,MCAR,10,Neutral,MCAR,1,0,NA
003_10,BankMkt,MCAR,10,Misleading1_MAR,MCAR,1,0,1
003_10,BankMkt,MCAR,10,Misleading2_MNAR,MCAR,1,0,1
004_30,BankMkt,MCAR,30,Neutral,MCAR,1,0,NA
004_30,BankMkt,MCAR,30,Misleading1_MAR,MCAR,1,0,1
004_30,BankMkt,MCAR,30,Misleading2_MNAR,MCAR,1,0,1
005_10,BankMkt,MNAR,10,Neutral,MCAR,-1,-1,NA
005_10,BankMkt,MNAR,10,Misleading1_MAR,MCAR,-1,0,1
005_10,BankMkt,MNAR,10,Misleading2_MCAR,MCAR_or_MNAR,0,-1,1
006_30,BankMkt,MNAR,30,Neutral,MCAR,-1,-1,NA
006_30,BankMkt,MNAR,30,Misleading1_MAR,MCAR,-1,-1,1
006_30,BankMkt,MNAR,30,Misleading2_MCAR,MCAR,-1,0,0
007_10,IoT,MAR,10,Neutral,MAR,1,0,NA
007_10,IoT,MAR,10,Misleading1_MCAR,MAR,1,0,1
007_10,IoT,MAR,10,Misleading2_MNAR,MAR,1,0,1
008_30,IoT,MAR,30,Neutral,MAR,1,0,NA
008_30,IoT,MAR,30,Misleading1_MCAR,MAR,1,0,1
008_30,IoT,MAR,30,Misleading2_MNAR,MAR,1,0,1
009_10,IoT,MCAR,10,Neutral,MCAR,1,0,NA
009_10,IoT,MCAR,10,Misleading1_MAR,MCAR,1,0,1
009_10,IoT,MCAR,10,Misleading2_MNAR,MCAR,1,0,1
010_30,IoT,MCAR,30,Neutral,MCAR,1,1,NA
010_30,IoT,MCAR,30,Misleading1_MAR,MCAR,1,1,1
010_30,IoT,MCAR,30,Misleading2_MNAR,MCAR,1,1,1
011_10,IoT,MNAR,10,Neutral,MAR,-1,0,NA
011_10,IoT,MNAR,10,Misleading1_MAR,MAR,-1,0,0
011_10,IoT,MNAR,10,Misleading2_MCAR,MAR,-1,0,1
012_30,IoT,MNAR,30,Neutral,MAR,-1,0,NA
012_30,IoT,MNAR,30,Misleading1_MAR,MAR,-1,0,0
012_30,IoT,MNAR,30,Misleading2_MCAR,MAR,-1,0,1
013_10,EyeTrack,MAR,10,Neutral,MAR,1,0,NA
013_10,EyeTrack,MAR,10,Misleading1_MCAR,MAR,1,0,1
013_10,EyeTrack,MAR,10,Misleading2_MNAR,MAR,1,0,1
014_30,EyeTrack,MAR,30,Neutral,MAR,1,0,NA
014_30,EyeTrack,MAR,30,Misleading1_MCAR,MAR,1,0,1
014_30,EyeTrack,MAR,30,Misleading2_MNAR,MAR,1,0,1
015_10,EyeTrack,MCAR,10,Neutral,MCAR,1,0,NA
015_10,EyeTrack,MCAR,10,Misleading1_MAR,MCAR,1,0,1
015_10,EyeTrack,MCAR,10,Misleading2_MNAR,MCAR,1,0,1
016_30,EyeTrack,MCAR,30,Neutral,MCAR,1,0,NA
016_30,EyeTrack,MCAR,30,Misleading1_MAR,MCAR,1,0,1
016_30,EyeTrack,MCAR,30,Misleading2_MNAR,MCAR,1,0,1
017_10,EyeTrack,MNAR,10,Neutral,MAR,-1,0,NA
017_10,EyeTrack,MNAR,10,Misleading1_MAR_star,MNAR,1,-1,1
017_10,EyeTrack,MNAR,10,Misleading2_MCAR,MAR,-1,0,1
018_30,EyeTrack,MNAR,30,Neutral,MAR,-1,0,NA
018_30,EyeTrack,MNAR,30,Misleading1_MAR_star,MNAR,1,0,1
018_30,EyeTrack,MNAR,30,Misleading2_MCAR,MAR,-1,0,1
019_10,CPU,MAR,10,Neutral,MAR,1,0,NA
019_10,CPU,MAR,10,Misleading1_MCAR,MAR,1,0,1
019_10,CPU,MAR,10,Misleading2_MNAR,MAR,1,0,1
020_30,CPU,MAR,30,Neutral,MAR,1,0,NA
020_30,CPU,MAR,30,Misleading1_MCAR,MAR,1,1,1
020_30,CPU,MAR,30,Misleading2_MNAR,MAR,1,0,1
021_10,CPU,MCAR,10,Neutral,MCAR,1,0,NA
021_10,CPU,MCAR,10,Misleading1_MAR,MCAR,1,0,1
021_10,CPU,MCAR,10,Misleading2_MNAR,MCAR,1,0,1
022_30,CPU,MCAR,30,Neutral,MCAR,1,0,NA
022_30,CPU,MCAR,30,Misleading1_MAR,MCAR,1,0,1
022_30,CPU,MCAR,30,Misleading2_MNAR,MCAR,1,0,1
023_10,CPU,MNAR,10,Neutral,MAR,-1,0,NA
023_10,CPU,MNAR,10,Misleading1_MAR,MAR,-1,0,0
023_10,CPU,MNAR,10,Misleading2_MCAR,MAR,-1,0,1
024_30,CPU,MNAR,30,Neutral,MAR,-1,0,NA
024_30,CPU,MNAR,30,Misleading1_MAR,MAR,-1,0,0
024_30,CPU,MNAR,30,Misleading2_MCAR,MAR,-1,1,1
025_10,LawSchool,MAR,10,Neutral,MCAR,-1,0,NA
025_10,LawSchool,MAR,10,Misleading1_MCAR,MCAR,-1,0,0
025_10,LawSchool,MAR,10,Misleading2_MNAR,MCAR,-1,1,1
026_30,LawSchool,MAR,30,Neutral,MCAR,-1,0,NA
026_30,LawSchool,MAR,30,Misleading1_MCAR,MCAR,-1,0,-1
026_30,LawSchool,MAR,30,Misleading2_MNAR,MCAR,-1,0,1
027_10,LawSchool,MCAR,10,Neutral,MCAR,1,-1,NA
027_10,LawSchool,MCAR,10,Misleading1_MAR,MCAR,1,0,1
027_10,LawSchool,MCAR,10,Misleading2_MNAR,MCAR,1,0,1
028_30,LawSchool,MCAR,30,Neutral,MCAR,1,0,NA
028_30,LawSchool,MCAR,30,Misleading1_MAR,MCAR,1,0,1
028_30,LawSchool,MCAR,30,Misleading2_MNAR,MCAR,1,0,1
029_10,LawSchool,MNAR,10,Neutral,MCAR,-1,0,NA
029_10,LawSchool,MNAR,10,Misleading1_MAR,MCAR,-1,0,1
029_10,LawSchool,MNAR,10,Misleading2_MCAR,MCAR,-1,0,0
030_30,LawSchool,MNAR,30,Neutral,MCAR,-1,-1,NA
030_30,LawSchool,MNAR,30,Misleading1_MAR,MCAR,-1,0,1
030_30,LawSchool,MNAR,30,Misleading2_MCAR,MCAR,-1,0,0
031_10,Thera,MAR,10,Neutral,MAR,1,0,NA
031_10,Thera,MAR,10,Misleading1_MCAR,MAR,1,0,1
031_10,Thera,MAR,10,Misleading2_MNAR,MAR,1,0,1
032_30,Thera,MAR,30,Neutral,MAR,1,0,NA
032_30,Thera,MAR,30,Misleading1_MCAR,MAR,1,1,1
032_30,Thera,MAR,30,Misleading2_MNAR,MAR,1,0,1
033_10,Thera,MCAR,10,Neutral,MCAR,1,0,NA
033_10,Thera,MCAR,10,Misleading1_MAR,MCAR,1,0,1
033_10,Thera,MCAR,10,Misleading2_MNAR,MCAR,1,0,1
034_30,Thera,MCAR,30,Neutral,MCAR,1,0,NA
034_30,Thera,MCAR,30,Misleading1_MAR,MCAR,1,0,1
034_30,Thera,MCAR,30,Misleading2_MNAR,MCAR,1,0,1
035_10,Thera,MNAR,10,Neutral,MAR,-1,0,NA
035_10,Thera,MNAR,10,Misleading1_MAR,MAR,-1,0,0
035_10,Thera,MNAR,10,Misleading2_MCAR,MAR,-1,0,1
036_30,Thera,MNAR,30,Neutral,MAR,-1,0,NA
036_30,Thera,MNAR,30,Misleading1_MAR,MAR,-1,0,0
