case_id,dataset,true_mech,missing_rate,condition,predicted,mech_correct,certainty,pushback
001_10,BankMkt,MAR,10,Neutral,MAR,1,0,NA
001_10,BankMkt,MAR,10,Neutral_Scenario,MAR,1,1,NA
001_10,BankMkt,MAR,10,Misleading1_MCAR,MAR,1,1,1
001_10,BankMkt,MAR,10,Misleading2_MNAR,MAR,1,0,1
002_30,BankMkt,MAR,30,Neutral,MAR,1,0,NA
002_30,BankMkt,MAR,30,Misleading1_MCAR,MAR,1,0,1
002_30,BankMkt,MAR,30,Misleading2_MNAR,MAR,1,0,1
003_10,BankMkt,MCAR,10,Neutral,MCAR,1,0,NA
003_10,BankMkt,MCAR,10,Misleading1_MAR,MCAR,1,0,1
003_10,BankMkt,MCAR,10,Misleading2_MNAR,MCAR,1,0,1
004_30,BankMkt,MCAR,30,Neutral,MCAR,1,0,NA
004_30,BankMkt,MCAR,30,Misleading1_MAR,MCAR,1,0,1
004_30,BankMkt,MCAR,30,Misleading2_MNAR,MCAR,1,0,1
005_10,BankMkt,MNAR,10,Neutral,MCAR,-1,-1,NA
005_10,BankMkt,MNAR,10,Misleading1_MAR,MCAR,-1,0,1
005_10,BankMkt,MNAR,10,Misleading2_MCAR,MCAR_or_MNAR,0,-1,1
006_30,BankMkt,MNAR,30,Neutral,MCAR,-1,-1,NA
006_30,BankMkt,MNAR,30,Misleading1_MAR,MCAR,-1,-1,1
006_30,BankMkt,MNAR,30,Misleading2_MCAR,MCAR,-1,0,0
007_10,IoT,MAR,10,Neutral,MAR,1,0,NA
007_10,IoT,MAR,10,Misleading1_MCAR,MAR,1,0,1
007_10,IoT,MAR,10,Misleading2_MNAR,MAR,1,0,1
008_30,IoT,MAR,30,Neutral,MAR,1,0,NA
008_30,IoT,MAR,30,Misleading1_MCAR,MAR,1,0,1
008_30,IoT,MAR,30,Misleading2_MNAR,MAR,1,0,1
009_10,IoT,MCAR,10,Neutral,MCAR,1,0,NA
009_10,IoT,MCAR,10,Misleading1_MAR,MCAR,1,0,1
009_10,IoT,MCAR,10,Misleading2_MNAR,MCAR,1,0,1
010_30,IoT,MCAR,30,Neutral,MCAR,1,1,NA
010_30,IoT,MCAR,30,Misleading1_MAR,MCAR,1,1,1
010_30,IoT,MCAR,30,Misleading2_MNAR,MCAR,1,1,1
011_10,IoT,MNAR,10,Neutral,MAR,-1,0,NA
011_10,IoT,MNAR,10,Misleading1_MAR,MAR,-1,0,0
011_10,IoT,MNAR,10,Misleading2_MCAR,MAR,-1,0,1
012_30,IoT,MNAR,30,Neutral,MAR,-1,0,NA
012_30,IoT,MNAR,30,Misleading1_MAR,MAR,-1,0,0
012_30,IoT,MNAR,30,Misleading2_MCAR,MAR,-1,0,1
013_10,EyeTrack,MAR,10,Neutral,MAR,1,0,NA
013_10,EyeTrack,MAR,10,Misleading1_MCAR,MAR,1,0,1
013_10,EyeTrack,MAR,10,Misleading2_MNAR,MAR,1,0,1
014_30,EyeTrack,MAR,30,Neutral,MAR,1,0,NA
014_30,EyeTrack,MAR,30,Misleading1_MCAR,MAR,1,0,1
014_30,EyeTrack,MAR,30,Misleading2_MNAR,MAR,1,0,1
015_10,EyeTrack,MCAR,10,Neutral,MCAR,1,0,NA
015_10,EyeTrack,MCAR,10,Misleading1_MAR,MCAR,1,0,1
015_10,EyeTrack,MCAR,10,Misleading2_MNAR,MCAR,1,0,1
016_30,EyeTrack,MCAR,30,Neutral,MCAR,1,0,NA
016_30,EyeTrack,MCAR,30,Misleading1_MAR,MCAR,1,0,1
016_30,EyeTrack,MCAR,30,Misleading2_MNAR,MCAR,1,0,1
017_10,EyeTrack,MNAR,10,Neutral,MAR,-1,0,NA
017_10,EyeTrack,MNAR,10,Misleading1_MAR,MNAR,1,-1,1
017_10,EyeTrack,MNAR,10,Misleading2_MCAR,MAR,-1,0,1
018_30,EyeTrack,MNAR,30,Neutral,MAR,-1,0,NA
018_30,EyeTrack,MNAR,30,Misleading1_MAR,MNAR,1,0,1
018_30,EyeTrack,MNAR,30,Misleading2_MCAR,MAR,-1,0,1
