"dataset","true_mech","cond_type","n_total","n_correct","n_ambiguous","n_wrong","pct_correct","n_high_cert","n_mod_cert","n_low_cert","n_disagree","n_part_agree","n_agree"
"BankMkt","MAR","Misleading",4,4,0,0,100,1,3,0,4,0,0
"BankMkt","MAR","Neutral",3,3,0,0,100,1,2,0,0,0,0
"BankMkt","MCAR","Misleading",4,4,0,0,100,0,4,0,4,0,0
"BankMkt","MCAR","Neutral",2,2,0,0,100,0,2,0,0,0,0
"BankMkt","MNAR","Misleading",4,0,1,3,0,0,2,2,3,1,0
"BankMkt","MNAR","Neutral",2,0,0,2,0,0,0,2,0,0,0
"IoT","MAR","Misleading",4,4,0,0,100,0,4,0,4,0,0
"IoT","MAR","Neutral",2,2,0,0,100,0,2,0,0,0,0
"IoT","MCAR","Misleading",4,4,0,0,100,2,2,0,4,0,0
"IoT","MCAR","Neutral",2,2,0,0,100,1,1,0,0,0,0
"IoT","MNAR","Misleading",4,0,0,4,0,0,4,0,2,2,0
"IoT","MNAR","Neutral",2,0,0,2,0,0,2,0,0,0,0
"EyeTrack","MAR","Misleading",4,4,0,0,100,0,4,0,4,0,0
"EyeTrack","MAR","Neutral",2,2,0,0,100,0,2,0,0,0,0
"EyeTrack","MCAR","Misleading",4,4,0,0,100,0,4,0,4,0,0
"EyeTrack","MCAR","Neutral",2,2,0,0,100,0,2,0,0,0,0
"EyeTrack","MNAR","Misleading",4,2,0,2,50,0,3,1,4,0,0
"EyeTrack","MNAR","Neutral",2,0,0,2,0,0,2,0,0,0,0
