"Timestamp","Bid_Open","Bid_High","Bid_Low","Bid_Close","Bid_Volume","Ask_Open","Ask_High","Ask_Low","Ask_Close","Ask_Volume","Class"
NA,4.45891,4.45891,4.45891,4.45891,0,4.46169,4.46169,4.46169,4.46169,0,"False"
NA,4.44647,4.44697,4.44607,4.44607,9,4.47933,4.47983,4.47893,4.47893,9,"True"
NA,4.44858,4.45258,4.44857,4.44857,12,4.47632,4.47633,4.47542,4.47633,12,"False"
NA,4.44857,4.44857,4.44857,4.44857,0,4.47633,4.47633,4.47633,4.47633,0,"False"
NA,4.44857,4.44857,4.44857,4.44857,0,4.47633,4.47633,4.47633,4.47633,0,"False"
NA,4.44857,4.44857,4.44857,4.44857,0,4.47633,4.47633,4.47633,4.47633,0,"False"
NA,4.44857,4.44857,4.44857,4.44857,0,4.47633,4.47633,4.47633,4.47633,0,"False"
NA,4.45802,4.45803,4.44208,4.44208,5.25,4.46058,4.47492,4.46057,4.47492,5.25,"False"
NA,4.45756,4.45857,4.44397,4.44397,36.27,4.45905,4.47003,4.45698,4.47003,36.75,"True"
NA,4.44885,4.46501,4.44444,4.45613,267.91,4.46701,4.47728,4.45885,4.46529,349.23,"True"
NA,4.45612,4.46125,4.45567,4.45937,498.2,4.4653,4.46658,4.45764,4.46139,473.29,"True"
NA,4.45917,4.46597,4.45684,4.46238,474.67,4.46423,4.47056,4.45832,4.46622,459.72,"True"
NA,4.4624,4.47258,4.4624,4.46917,484.44,4.46622,4.47599,4.46419,4.47283,404.02,"True"
NA,4.46917,4.47238,4.45438,4.4698,415.6,4.47284,4.48722,4.46816,4.47261,274.48,"True"
NA,4.46957,4.4755,4.46646,4.47264,246.24,4.47236,4.47831,4.46808,4.47545,120.01,"False"
NA,4.47265,4.47375,4.46261,4.47146,643.19,4.47544,4.48454,4.46996,4.47274,664.47,"False"
NA,4.46411,4.46928,4.4544,4.46768,358.69,4.48229,4.4823,4.4626,4.47004,242.29,"False"
NA,4.46768,4.46953,4.45715,4.45721,350.58,4.47003,4.47664,4.46476,4.47539,343.62,"True"
NA,4.46397,4.46823,4.4599,4.46822,228.52,4.47033,4.4781,4.46732,4.46978,274.92,"False"
NA,4.46682,4.47072,4.45178,4.46542,110.89,4.46866,4.48462,4.46778,4.47348,110.43,"True"
NA,4.46543,4.46738,4.44891,4.46593,54.78,4.47347,4.48175,4.46598,4.47358,64.5,"False"
NA,4.46593,4.46593,4.44848,4.46542,52.9,4.47357,4.48132,4.47057,4.47058,67.6,"False"
NA,4.46543,4.46543,4.44921,4.46532,72.56,4.47057,4.48252,4.46618,4.46687,68.7,"True"
NA,4.46723,4.46756,4.44719,4.46347,72.27,4.46858,4.48432,4.46321,4.47363,76.54,"False"
NA,4.45867,4.46538,4.44751,4.46208,97.61,4.47353,4.48292,4.46332,4.46332,106.83,"False"
NA,4.46311,4.46565,4.44498,4.44498,91.56,4.46805,4.48292,4.46202,4.47782,80.37,"True"
NA,4.46255,4.46666,4.447,4.46231,145.89,4.46458,4.48292,4.45978,4.46423,159.97,"True"
NA,4.46562,4.47362,4.44206,4.46459,187.04,4.46758,4.48654,4.45989,4.4674,205.97,"False"
NA,4.45498,4.46639,4.44299,4.44692,240.47,4.47784,4.47784,4.45875,4.46978,225.98,"True"
NA,4.4513,4.46144,4.4513,4.45852,115.11,4.47416,4.47416,4.45882,4.46028,130.52,"False"
NA,4.45898,4.45898,4.43772,4.458,87.15,4.46022,4.47056,4.45224,4.46081,79.05,"False"
NA,4.44168,4.45877,4.44168,4.45738,164.71,4.47452,4.47452,4.45838,4.45882,173.44,"False"
NA,4.4586,4.46118,4.45305,4.45418,514.97,4.46021,4.46673,4.45548,4.46222,557.35,"False"
NA,4.45418,4.45967,4.43831,4.45406,703.73,4.46172,4.47115,4.44543,4.45602,766.64,"True"
NA,4.45406,4.46887,4.44899,4.46187,1139.47,4.45602,4.47063,4.45053,4.46363,840.99,"False"
NA,4.46187,4.46952,4.45793,4.45838,850.11,4.46363,4.47074,4.4597,4.45992,868.32,"False"
NA,4.45837,4.46018,4.45057,4.45546,688.89,4.46013,4.46344,4.45213,4.45763,798.16,"True"
NA,4.45706,4.45888,4.44991,4.45707,701.66,4.45763,4.46045,4.45127,4.45863,775.47,"True"
NA,4.45736,4.47038,4.45539,4.46957,541.39,4.45863,4.47309,4.45731,4.47083,431.16,"False"
NA,4.46958,4.47566,4.46778,4.46783,423.06,4.47082,4.47725,4.46907,4.46907,456.27,"False"
NA,4.46767,4.46899,4.46201,4.46219,428.31,4.46828,4.47067,4.46344,4.46422,619.57,"True"
NA,4.46227,4.46525,4.45847,4.46323,844.98,4.4643,4.46697,4.46028,4.46459,688.56,"False"
NA,4.46311,4.46311,4.45035,4.45254,495.16,4.46459,4.46521,4.45876,4.46008,600.32,"True"
NA,4.45825,4.4639,4.44513,4.4639,661.35,4.46025,4.478,4.45965,4.46539,728.55,"False"
NA,4.4639,4.46727,4.44179,4.46057,471.76,4.46534,4.4807,4.45789,4.46239,568.03,"True"
NA,4.46411,4.46726,4.44547,4.46328,220.31,4.46804,4.48019,4.46132,4.46693,242.5,"True"
NA,4.46472,4.46866,4.45125,4.46866,250.8,4.47018,4.48409,4.46854,4.47174,265.37,"True"
NA,4.46968,4.47329,4.45188,4.46999,480.8,4.47172,4.48898,4.46952,4.47201,463.13,"False"
NA,4.46242,4.47417,4.44564,4.46355,189.76,4.47728,4.48752,4.46302,4.46545,196.38,"False"
NA,4.46113,4.47019,4.44528,4.46271,124.57,4.4705,4.48387,4.46243,4.46473,136.54,"False"
NA,4.45637,4.46686,4.44194,4.46118,144.2,4.47123,4.48332,4.45639,4.46312,161.88,"False"
NA,4.46254,4.46277,4.44048,4.45478,171.26,4.46371,4.47858,4.45843,4.47078,182.41,"False"
NA,4.45172,4.4616,4.44081,4.44543,585.26,4.47458,4.47458,4.45611,4.46829,581.39,"True"
NA,4.44821,4.46349,4.44634,4.45365,275.24,4.47107,4.47107,4.45762,4.45911,258.2,"True"
NA,4.46874,4.46874,4.44223,4.45672,223.97,4.47086,4.47576,4.4589,4.46065,232.43,"True"
NA,4.45705,4.46471,4.43896,4.45717,292.35,4.46093,4.47652,4.45359,4.46014,302.48,"True"
NA,4.45827,4.47049,4.44399,4.45847,639.42,4.46383,4.47683,4.4594,4.46403,668.59,"True"
NA,4.4591,4.46936,4.44716,4.46917,398.11,4.46341,4.48,4.45972,4.47015,329.37,"True"
NA,4.46912,4.47926,4.4469,4.47696,1259.13,4.47015,4.48134,4.46107,4.47914,1223.67,"False"
NA,4.47706,4.47944,4.46843,4.47438,1109.62,4.47914,4.48107,4.46956,4.47677,965.99,"True"
NA,4.47456,4.47713,4.47218,4.47493,1023.27,4.47656,4.47906,4.47331,4.47607,1083.62,"False"
NA,4.47498,4.47715,4.46693,4.47446,1056.1,4.47612,4.47865,4.46856,4.4758,913.45,"True"
