"Timestamp","Bid_Open","Bid_High","Bid_Low","Bid_Close","Bid_Volume","Ask_Open","Ask_High","Ask_Low","Ask_Close","Ask_Volume","Class"
NA,10.04733,10.05456,10.0453,10.05174,4779.104,10.04927,10.0556,10.0465,10.05326,4317.6724,"True"
NA,10.05159,10.05856,10.04763,10.0549,4948.5142,10.05341,10.06024,10.04859,10.0565,3543.2927,"False"
NA,10.051,10.05732,10.05008,10.05248,5056.4282,10.0526,10.05889,10.05196,10.05432,3628.3015,"False"
NA,10.05274,10.05373,10.04613,10.04713,4834.7417,10.05426,10.05555,10.04754,10.04907,4425.1743,"False"
NA,10.04723,10.04893,10.03794,10.04176,4741.5469,10.04917,10.05041,10.03937,10.04344,3748.3855,"True"
NA,10.04178,10.04946,10.03616,10.03832,6650.8735,10.04362,10.05121,10.03742,10.03948,5847.3203,"False"
NA,10.03898,10.04093,10.03372,10.03573,9939.8018,10.04002,10.04195,10.03507,10.03727,10651.916,"True"
NA,10.03554,10.04462,10.03427,10.04093,7396.3438,10.03766,10.04547,10.03765,10.04206,7827.6172,"True"
NA,10.03948,10.04857,10.03633,10.04352,9335.5039,10.04332,10.04983,10.03878,10.04404,9037.1543,"True"
NA,10.0433,10.05154,10.04013,10.04787,4659.7681,10.04445,10.05373,10.0415,10.05016,4971.3389,"True"
NA,10.04787,10.05767,10.04721,10.0528,2859.7871,10.05017,10.06023,10.04996,10.05546,2588.2832,"True"
NA,10.05225,10.06311,10.05215,10.06188,2997.3816,10.05621,10.06495,10.05456,10.06378,3070.7332,"True"
NA,10.06151,10.06384,10.04962,10.05346,1853.7563,10.06407,10.06622,10.05194,10.0556,1996.5173,"False"
NA,10.05328,10.05821,10.05225,10.05602,5882.7085,10.05587,10.05943,10.05344,10.05656,5789.5718,"False"
NA,10.05597,10.05742,10.04387,10.04701,5771.6479,10.0568,10.059,10.04637,10.05005,5267.145,"False"
NA,10.04705,10.05311,10.03692,10.04028,5017.77,10.05009,10.05533,10.03919,10.04262,4555.8701,"False"
NA,10.04028,10.04824,10.04028,10.04424,4233.1699,10.04262,10.04969,10.04259,10.04626,4179.8799,"True"
NA,10.04424,10.05016,10.0334,10.03493,3328.6899,10.04626,10.05327,10.03502,10.03672,3429.0701,"False"
NA,10.03493,10.03919,10.03407,10.0353,873.5,10.03691,10.04279,10.03671,10.03768,1091.83,"False"
NA,10.03524,10.03742,10.03411,10.03705,716,10.03767,10.04132,10.03634,10.04132,716,"True"
NA,10.03708,10.04253,10.03677,10.03905,785,10.04136,10.04664,10.04112,10.04303,785,"False"
NA,10.03905,10.04134,10.03655,10.03946,2707.3213,10.04304,10.04487,10.03785,10.04034,2377.8875,"False"
NA,10.03927,10.04107,10.03358,10.03898,2427.1458,10.04073,10.04443,10.0352,10.04292,2295.449,"True"
NA,10.03966,10.04481,10.03662,10.04223,3253.4463,10.04094,10.04597,10.03923,10.04597,3074.4163,"True"
NA,10.04338,10.04624,10.04041,10.04407,3839.8923,10.04522,10.04792,10.04227,10.04601,4319.2749,"True"
NA,10.04352,10.0489,10.04121,10.04807,1598.9327,10.04636,10.05143,10.04401,10.05009,1953.6758,"True"
NA,10.04657,10.06448,10.04657,10.06129,3529.667,10.04963,10.06653,10.049,10.06323,4305.645,"True"
NA,10.06126,10.07747,10.06069,10.07526,5176.0498,10.0632,10.07872,10.06251,10.0771,5993.0698,"True"
NA,10.07529,10.08872,10.07518,10.08267,4824.3398,10.07713,10.09042,10.07709,10.08394,4678.3799,"False"
NA,10.08238,10.08459,10.07728,10.07733,4473.8301,10.0841,10.08563,10.07841,10.07879,4634.29,"True"
NA,10.07765,10.08593,10.07717,10.08311,4833.6802,10.07854,10.08747,10.07854,10.0845,4202.0801,"True"
NA,10.08311,10.0889,10.07896,10.08197,8691.1699,10.0845,10.09024,10.0808,10.08348,7236.9902,"True"
NA,10.08197,10.09536,10.08192,10.08642,8478.5703,10.08348,10.09623,10.08343,10.08792,8740.8896,"True"
NA,10.08642,10.10689,10.08635,10.09119,16447.4004,10.08791,10.10797,10.08777,10.09232,14981.9502,"False"
NA,10.09144,10.09761,10.08107,10.08863,17380.6504,10.09213,10.0986,10.08207,10.08965,17138.0293,"True"
NA,10.08863,10.11324,10.0855,10.10756,16992.7305,10.08965,10.11417,10.08655,10.10885,18464.6895,"True"
NA,10.10759,10.13364,10.10722,10.12735,18293.3301,10.10876,10.13423,10.10828,10.1284,18410.7109,"True"
NA,10.1276,10.14551,10.12383,10.13457,18805.7305,10.12854,10.14646,10.12481,10.1354,18419.9805,"False"
NA,10.13457,10.13571,10.11521,10.11673,16663.7207,10.13511,10.13679,10.11616,10.11773,16638.3105,"False"
NA,10.11668,10.12517,10.10824,10.12418,17354.6895,10.11758,10.12613,10.10923,10.12499,17702.8691,"True"
NA,10.12418,10.13477,10.11957,10.12452,17250.0098,10.12494,10.13572,10.12047,10.12722,17415.25,"True"
NA,10.12455,10.15097,10.12373,10.13978,21418.1602,10.12725,10.15175,10.12484,10.14063,18402.0508,"False"
NA,10.14002,10.15015,10.13591,10.14476,14584.1299,10.14032,10.15132,10.13718,10.14591,15090.6797,"False"
NA,10.1447,10.14565,10.1328,10.13547,11555.0498,10.1459,10.14672,10.13373,10.13642,11256.9199,"True"
NA,10.1355,10.1562,10.13511,10.15311,10046.9297,10.13663,10.1575,10.13609,10.15481,10589.5195,"False"
NA,10.15331,10.1548,10.13697,10.14164,10128.4502,10.15485,10.15573,10.13795,10.1426,10839.54,"False"
NA,10.14151,10.14608,10.13625,10.13797,6813.9399,10.14267,10.14726,10.13754,10.1398,5986.96,"False"
NA,10.1383,10.13965,10.13268,10.13531,4784.835,10.13952,10.14109,10.13417,10.13725,3780.6721,"False"
NA,10.13528,10.1392,10.13486,10.13724,4891.9336,10.13722,10.14032,10.13608,10.13876,4473.3262,"True"
NA,10.13721,10.13953,10.13339,10.13845,5114.9702,10.13873,10.14119,10.13557,10.13994,3693.4099,"True"
NA,10.13871,10.14023,10.1324,10.13439,9361.3096,10.14016,10.14181,10.13348,10.13553,8213.5801,"False"
NA,10.13439,10.13841,10.13271,10.1356,7752.0098,10.1355,10.13913,10.13393,10.13683,7097.29,"False"
NA,10.1356,10.13611,10.11848,10.12045,8893.5195,10.13683,10.13699,10.11956,10.1216,9372.4004,"False"
NA,10.12045,10.12933,10.11731,10.12811,7321.27,10.12157,10.13033,10.11833,10.12917,6153.9502,"True"
NA,10.12817,10.13089,10.12464,10.12754,6009.5098,10.12917,10.13178,10.12561,10.1288,5880.96,"False"
NA,10.12754,10.12764,10.12012,10.1257,5427.6099,10.12882,10.12882,10.12108,10.12688,4600.29,"True"
NA,10.12572,10.13208,10.12125,10.13087,10172.9297,10.1269,10.13306,10.12243,10.13199,9613.0801,"True"
NA,10.13089,10.134,10.12118,10.13138,14493.9199,10.13201,10.13509,10.12199,10.13243,14634.5,"True"
NA,10.1313,10.15373,10.12421,10.12709,20893.8008,10.13243,10.15494,10.12519,10.12813,20508.25,"False"
NA,10.12703,10.13831,10.12022,10.12912,17531.6699,10.12823,10.13937,10.12111,10.13103,18672.7109,"False"
NA,10.1291,10.13598,10.10489,10.10931,18728.0508,10.13101,10.13742,10.10564,10.11053,19015.1602,"False"
NA,10.10927,10.11242,10.08026,10.08323,17061.9902,10.11053,10.11332,10.08188,10.08455,17347.4609,"False"
NA,10.08319,10.09439,10.07587,10.08026,15317.6396,10.08455,10.09533,10.07703,10.0815,15808.6201,"False"
NA,10.08021,10.0803,10.04648,10.04842,19273.7695,10.08152,10.08152,10.04765,10.04956,19575.7207,"False"
NA,10.0484,10.06883,10.04692,10.06597,18075.1895,10.04954,10.06989,10.04782,10.06809,18344.4004,"False"
NA,10.06634,10.06717,10.02131,10.02745,20181.9297,10.06775,10.06847,10.02235,10.02846,20782.8203,"False"
NA,10.02743,10.04752,10.02611,10.04293,16729.6504,10.02844,10.04894,10.02713,10.04409,15541.0703,"True"
