"Timestamp","Bid_Open","Bid_High","Bid_Low","Bid_Close","Bid_Volume","Ask_Open","Ask_High","Ask_Low","Ask_Close","Ask_Volume","Class"
NA,0.83477,0.83493,0.83356,0.83405,804.93,0.8349,0.8357,0.83431,0.83521,864.97,"True"
NA,0.83405,0.83532,0.83405,0.83426,818.1,0.83526,0.8357,0.8346,0.83487,877.3,"False"
NA,0.83426,0.83456,0.83408,0.83434,2622.54,0.83493,0.83495,0.83422,0.83448,2699.6201,"False"
NA,0.83434,0.83442,0.8338,0.83407,951.39,0.83448,0.83457,0.83403,0.83421,875.94,"False"
NA,0.83394,0.83408,0.83295,0.83345,896.01,0.8342,0.83433,0.83319,0.83415,911.32,"True"
NA,0.83347,0.83416,0.83298,0.83319,915.83,0.83421,0.83455,0.83352,0.8336,947.19,"False"
NA,0.83303,0.83332,0.83293,0.833,657.91,0.83376,0.8341,0.83302,0.83377,615.59,"True"
NA,0.83328,0.83366,0.83298,0.83303,500.33,0.83377,0.83439,0.83338,0.83408,418.19,"True"
NA,0.83312,0.83418,0.83302,0.83333,1473.21,0.83408,0.83452,0.83332,0.83415,1335.27,"True"
NA,0.83333,0.83564,0.83329,0.83492,1654.4,0.83422,0.83573,0.83372,0.83521,1648.11,"True"
NA,0.83492,0.83578,0.83468,0.83468,2299.49,0.8351,0.83594,0.83489,0.83489,2200.46,"True"
NA,0.83466,0.8359,0.83363,0.83468,2751.3701,0.83487,0.83618,0.83392,0.83475,2761.97,"False"
NA,0.83472,0.83556,0.8345,0.83515,2067.05,0.8348,0.83573,0.83455,0.83533,2071.1001,"False"
NA,0.83515,0.83539,0.83474,0.83517,1249.49,0.83533,0.83556,0.83494,0.83528,1346.01,"False"
NA,0.83518,0.83521,0.83421,0.83478,1652.05,0.83527,0.83535,0.83438,0.83494,1898.29,"True"
NA,0.83477,0.83525,0.83427,0.83485,2119.29,0.83491,0.83534,0.83441,0.83505,2088.3701,"True"
NA,0.83485,0.83527,0.83405,0.83494,2215.3601,0.83505,0.8354,0.83416,0.83512,2074.29,"True"
NA,0.83494,0.8355,0.83438,0.83516,1889.3199,0.83502,0.83566,0.8346,0.83531,1832.61,"False"
NA,0.83513,0.83527,0.8336,0.83372,2066.29,0.83529,0.83547,0.8337,0.83405,1722.49,"False"
NA,0.83372,0.83396,0.83336,0.83379,1418.35,0.83405,0.83425,0.83343,0.83405,1282.12,"False"
NA,0.83366,0.83397,0.83314,0.83342,1547.86,0.834,0.83417,0.83326,0.83362,1619.89,"True"
NA,0.83342,0.83456,0.83321,0.83379,1070.33,0.83362,0.83482,0.83332,0.83402,1066.2,"False"
NA,0.83379,0.83427,0.83344,0.83394,982.56,0.83402,0.83451,0.83355,0.83416,948.15,"False"
NA,0.83394,0.83394,0.83337,0.83357,1013.09,0.83417,0.83423,0.83353,0.83384,1001.85,"True"
NA,0.83334,0.83423,0.83318,0.8336,740.63,0.83399,0.83455,0.83352,0.83408,824.61,"True"
NA,0.83362,0.83449,0.83344,0.83358,1198.62,0.83408,0.83471,0.83358,0.83374,1249,"True"
NA,0.83358,0.83506,0.83354,0.83495,2726.3201,0.83372,0.83525,0.8337,0.83508,3184.01,"True"
NA,0.83495,0.83536,0.83419,0.83528,2907.75,0.83508,0.83553,0.83443,0.83542,3018.5,"True"
NA,0.8353,0.83609,0.8352,0.83551,2059.6599,0.83544,0.83615,0.83534,0.83557,2439.96,"False"
NA,0.83551,0.83577,0.83525,0.83533,1546.17,0.83555,0.83586,0.83537,0.83539,1793.79,"False"
NA,0.83533,0.83555,0.83509,0.8352,1470.0699,0.83539,0.83568,0.83521,0.83533,1706.76,"False"
NA,0.83521,0.83531,0.83441,0.8347,3547.78,0.83533,0.83545,0.83445,0.83477,3388.6399,"False"
