"bedrooms","bathrooms","sqft_living","sqft_lot","grade","sqft_above","sqft_basement","yr_built","yr_renovated","lat","long","sqft_living15","sqft_lot15","date_month","date_day","price"
3,1,1180,5650,7,1180,0,1955,0,47.5112,-122.257,1340,5650,"10",13,12.309986615445
3,2.25,2570,7242,7,2170,400,1951,1991,47.721,-122.319,1690,7639,"12",9,13.1956156978783
2,1,770,10000,6,770,0,1933,0,47.7379,-122.233,2720,8062,"2",25,12.1007176854125
4,3,1960,5000,7,1050,910,1965,0,47.5208,-122.393,1360,5000,"12",9,13.3113311325447
3,2,1680,8080,8,1680,0,1987,0,47.6168,-122.045,1800,7503,"2",18,13.1421679654829
4,4.5,5420,101930,11,3890,1530,2001,0,47.6561,-122.005,4760,101930,"5",12,14.0184522182872
3,2.25,1715,6819,7,1715,0,1995,0,47.3097,-122.327,2238,6819,"6",27,12.4587788825735
3,1.5,1060,9711,7,1060,0,1963,0,47.4095,-122.315,1650,9711,"1",15,12.5839986770437
3,1,1780,7470,7,1050,730,1960,0,47.5123,-122.337,1780,8113,"4",15,12.3436626657717
3,2.5,1890,6560,7,1890,0,2003,0,47.3684,-122.031,2390,7570,"3",12,12.6854106981752
3,2.5,3560,9796,8,1860,1700,1965,0,47.6007,-122.145,2210,8925,"4",3,13.4037773462753
2,1,1160,6000,7,860,300,1942,0,47.69,-122.292,1330,6000,"5",27,13.0562257116496
3,1,1430,19901,7,1430,0,1927,0,47.7558,-122.229,1780,12697,"5",28,12.6443308022626
3,1.75,1370,9680,7,1370,0,1977,0,47.6127,-122.045,1370,10208,"10",7,12.899222326087
5,2,1810,4850,7,1810,0,1900,0,47.67,-122.394,1360,4850,"3",12,13.180634172319
4,3,2950,5000,9,1980,970,1979,0,47.5714,-122.375,2140,4000,"1",24,13.3847291803322
3,2,1890,14040,7,1890,0,1994,0,47.7277,-121.962,1890,14018,"7",31,12.8866435755256
4,1,1600,4300,7,1600,0,1916,0,47.6648,-122.343,1610,4300,"5",29,13.0919062317732
2,1,1200,9850,7,1200,0,1921,0,47.3089,-122.21,1060,5095,"12",5,12.1495075850331
3,1,1250,9774,7,1250,0,1969,0,47.3343,-122.306,1280,8850,"4",24,12.345838935722
4,1.75,1620,4980,7,860,760,1947,0,47.7025,-122.341,1400,4980,"5",14,12.8610012106691
3,2.75,3050,44867,9,2330,720,1968,0,47.5316,-122.233,4110,20336,"8",26,14.5086582385241
5,2.5,2270,6300,8,2270,0,1995,0,47.3266,-122.169,2240,7005,"7",3,12.5602479680166
2,1.5,1070,9643,7,1070,0,1985,0,47.3533,-122.166,1220,8386,"5",16,12.43996225063
3,2.25,2450,6500,8,2450,0,1985,0,47.3739,-122.172,2200,6865,"11",20,12.7038160692566
3,2,1710,4697,6,1710,0,1941,0,47.3048,-122.218,1030,4705,"11",3,12.3587980243841
3,1.75,2450,2691,8,1750,700,1915,0,47.6386,-122.36,1760,3573,"6",26,13.7504396284558
3,1,1400,1581,8,1400,0,1909,0,47.6221,-122.314,1860,3861,"12",1,13.410546824147
3,1.75,1520,6380,7,790,730,1948,0,47.695,-122.304,1520,6235,"6",24,12.989976472461
4,2.5,2570,7173,8,2570,0,2005,0,47.7073,-122.11,2630,6026,"3",2,13.4856180275228
3,2.5,2320,3980,8,2320,0,2003,0,47.5391,-122.07,2580,3980,"11",10,13.2716468027715
2,1.5,1190,1265,7,1190,0,2005,0,47.7274,-122.357,1390,1756,"12",1,12.5425484535736
4,1.75,2330,5000,7,1510,820,1929,0,47.6823,-122.368,1460,5000,"6",24,13.4408185630673
3,1,1090,3000,8,1090,0,1929,0,47.6889,-122.375,1570,5080,"11",10,13.1900238950353
4,2.75,2060,6659,7,1280,780,1981,0,47.4276,-122.157,2020,8720,"12",3,12.6838615159884
3,2.5,2300,3060,8,1510,790,1930,2002,47.6827,-122.31,1590,3264,"6",13,13.4531063760971
4,1,1660,34848,5,930,730,1933,0,47.6621,-122.132,2160,11467,"5",28,13.2176753753888
4,2,2360,6000,8,2360,0,1904,0,47.6702,-122.362,1730,4700,"12",30,13.3692250178346
4,1,1220,8075,7,890,330,1969,0,47.3341,-122.282,1290,7800,"2",13,12.3883983689821
4,2.5,2620,7553,8,2620,0,1996,0,47.5301,-122.18,2620,11884,"6",20,13.3129853899042
4,2.5,2570,5520,9,2570,0,2000,0,47.6145,-122.027,2470,5669,"7",15,13.3455085287173
4,2.25,4220,24186,8,2600,1620,1984,0,47.445,-122.347,2410,30617,"8",11,13.5606195986572
5,2.75,3595,5639,9,3595,0,2014,0,47.6848,-122.016,3625,5639,"7",7,13.6670001087561
3,1,1570,2280,7,1570,0,1922,0,47.6413,-122.364,1580,2640,"10",28,13.4371755770973
3,1,1280,9656,6,920,360,1959,0,47.4485,-122.175,1340,8808,"7",29,12.6410997921206
3,2.5,3160,13603,8,3160,0,2003,0,47.7443,-121.977,3050,9232,"7",18,13.0980727340135
