"V1","V6","V10","V12","V13","V14","V15","Class"
52,51,14,935,2,-1,0,"1"
53,232,29,32,1,-1,0,"1"
50,525,18,177,2,-1,0,"1"
32,648,21,166,1,-1,0,"1"
58,2348,9,226,1,-1,0,"1"
37,1731,29,148,4,-1,0,"1"
65,2352,8,354,3,188,13,"1"
54,5210,30,123,4,-1,0,"1"
51,-1136,25,155,1,-1,0,"1"
28,511,15,274,1,319,5,"1"
39,3663,11,230,3,-1,0,"1"
58,-205,3,497,2,-1,0,"1"
51,1126,17,326,3,-1,0,"1"
46,-880,12,185,2,-1,0,"1"
59,-313,20,407,1,-1,0,"1"
34,1637,21,107,4,-1,0,"1"
26,-378,8,165,1,-1,0,"1"
55,9774,20,227,1,-1,0,"1"
37,14,5,22,1,-1,0,"1"
45,46,5,234,1,-1,0,"1"
35,2823,2,229,1,-1,0,"1"
60,2389,4,287,1,-1,0,"1"
42,1323,19,19,1,-1,0,"1"
55,33,30,246,3,-1,0,"1"
36,9,7,473,2,-1,0,"1"
26,3825,13,107,1,-1,0,"1"
44,0,11,78,2,264,3,"1"
40,275,13,409,4,-1,0,"1"
37,1,6,44,2,-1,0,"1"
48,295,17,123,1,164,2,"1"
22,1161,16,119,1,-1,0,"1"
39,-146,20,239,2,-1,0,"1"
41,0,6,184,2,323,1,"1"
33,381,7,1957,1,-1,0,"1"
27,811,28,591,2,-1,0,"1"
49,933,29,92,33,-1,0,"1"
42,1823,13,31,1,-1,0,"1"
44,597,7,137,2,-1,0,"1"
37,41,14,388,3,-1,0,"1"
39,345,29,110,3,-1,0,"1"
46,0,6,322,5,-1,0,"1"
57,0,14,360,2,-1,0,"1"
34,510,27,33,7,-1,0,"1"
33,1072,29,144,2,-1,0,"1"
60,1626,27,395,2,-1,0,"1"
36,722,29,103,7,-1,0,"1"
54,466,4,297,1,-1,0,"1"
36,82,29,45,4,-1,0,"1"
56,705,19,164,2,-1,0,"1"
40,0,28,147,2,-1,0,"1"
39,94,6,181,2,-1,0,"1"
41,294,28,150,14,-1,0,"1"
34,260,22,142,2,-1,0,"1"
38,137,10,624,1,-1,0,"1"
39,26233,2,462,1,-1,0,"1"
40,858,21,173,1,-1,0,"1"
62,1381,19,1020,1,-1,0,"1"
33,15,22,199,1,-1,0,"1"
28,-395,30,141,4,-1,0,"1"
44,3,6,147,1,-1,0,"1"
41,402,17,114,17,-1,0,"1"
35,20,7,51,2,-1,0,"1"
37,0,15,280,6,-1,0,"1"
37,332,14,190,2,84,7,"1"
73,7111,12,284,1,182,1,"1"
50,-111,5,19,11,-1,0,"1"
34,0,2,83,1,-1,0,"1"
43,0,12,3,1,-1,0,"1"
49,378,9,189,2,-1,0,"1"
53,-634,19,695,3,-1,0,"1"
40,2502,18,205,1,-1,0,"1"
55,856,29,101,4,-1,0,"1"
58,3108,21,53,1,-1,0,"1"
42,-78,29,10,23,-1,0,"1"
38,35,17,156,1,273,3,"1"
50,1005,17,188,3,-1,0,"1"
55,538,13,306,1,67,2,"1"
55,-171,15,30,2,-1,0,"1"
57,8403,20,11,11,-1,0,"1"
