"area","rooms","bathroom","parking_spaces","hoa_.BRL.","rent_amount_.BRL.","property_tax_.BRL.","fire_insurance_.BRL.","totalBRL"
70,2,1,1,2065,3300,NA,42,8.6339089911122
320,4,4,0,1200,4960,NA,63,8.9839415279413
80,1,1,1,1000,2800,0,41,8.2537483433285
51,2,1,0,270,1112,22,17,7.25981961036319
25,1,1,0,0,800,NA,11,6.72982407048948
376,3,3,7,0,8000,NA,121,9.10007897771864
72,2,1,0,740,1900,85,25,7.91971976092457
213,4,4,4,2254,3223,1735,41,8.88930831984285
152,2,2,1,1000,15000,250,191,9.70753349401088
35,1,1,0,590,2300,NA,30,7.99159228206809
26,1,1,0,470,2100,NA,27,7.91862865334224
46,1,1,1,550,580,43,8,7.07496319796604
36,1,1,0,359,2100,70,27,7.84658997529119
55,1,1,1,790,4200,224,54,8.56959587020929
100,2,2,2,900,4370,17,56,8.58372971521648
330,4,6,6,680,8000,NA,121,9.11932097358901
110,2,2,1,700,3000,NA,39,8.25894046298846
88,2,3,1,1614,3500,221,16,8.58522560180806
56,2,1,0,800,1220,0,16,7.61923341622681
600,4,5,6,0,12000,9500,181,9.98419157995109
100,7,4,0,0,3800,118,58,8.28828304520769
42,1,1,1,470,2690,NA,36,8.12237124340655
160,3,2,2,1530,1900,167,25,8.19505769089508
35,1,1,0,0,1100,3,14,7.01929665371504
90,3,2,1,800,1800,NA,24,7.9168074909376
49,1,1,1,480,3500,42,45,8.31090675716845
41,1,1,1,600,3000,0,39,8.19973896063079
64,2,2,1,352,1500,80,20,7.57712193087668
208,3,2,4,0,3180,NA,48,8.11042723757502
20,1,1,0,602,1800,130,23,7.84619881549743
55,2,2,2,780,1068,142,14,7.60339933974067
32,1,1,0,515,1700,NA,22,7.72621265050753
80,2,2,1,1208,2550,216,33,8.2960476427647
45,1,1,1,2450,2500,NA,33,8.62640627638955
350,4,4,3,2100,4000,500,51,8.80267284031282
38,1,1,2,450,1750,0,26,7.70841066725737
30,1,1,0,460,1600,0,21,7.64108424917491
80,3,2,1,0,11000,425,181,9.35970820362701
70,2,1,0,0,1150,59,18,7.11314210870709
40,1,1,1,390,2990,NA,44,8.13885675069633
300,4,6,4,3700,12000,1584,153,9.76657903526867
240,3,2,3,0,3500,292,53,8.25478892614873
200,4,2,1,850,2550,NA,34,8.14438886554762
45,1,1,1,500,1631,192,12,7.75619534394812
360,4,5,0,4000,6410,2000,82,9.43276366396591
40,1,1,1,978,2829,NA,33,8.2534880283459
100,3,1,0,700,1220,10,17,7.57455848420248
42,1,1,2,190,1770,17,26,7.60290046220476
250,3,3,2,2200,1700,256,22,8.33782726244791
48,1,1,1,505,1600,59,21,7.68982866873648
90,3,3,1,1250,3800,NA,49,8.56541176368671
45,1,2,1,856,3900,NA,50,8.50855599802057
150,2,3,4,1700,4000,700,52,8.77230041793584
60,2,1,0,200,1445,0,19,7.41758040241454
31,1,1,0,370,2350,56,30,7.93987157636188
210,4,5,4,1650,9000,772,115,9.35366119142041
280,3,1,2,0,6000,113,91,8.73311069763871
93,2,3,2,663,5500,NA,70,8.75888368001702
75,3,2,1,340,1800,NA,27,7.73061406606374
194,3,4,3,0,4000,70,61,8.32651683023953
41,1,1,1,523,4000,NA,51,8.45659356928731
65,1,1,1,2000,5100,250,66,8.91152994173656
70,2,1,1,761,2150,67,28,8.00869818298853
278,4,5,2,4052,9000,1261,115,9.57713394943608
35,1,1,0,306,1521,NA,20,7.53315880745556
300,4,4,3,2300,6000,417,77,9.08193865717166
61,2,1,1,459,1850,0,24,7.7553388128465
130,3,2,1,1660,1700,NA,22,8.25790419346567
80,2,1,1,500,900,90,12,7.31521838975297
164,4,4,2,2159,5000,386,64,8.93721845085573
220,4,2,3,450,2422,125,33,8.0166478770578
45,1,1,0,0,1050,46,16,7.01481435127554
108,3,2,2,1290,5600,435,71,8.90882979158787
128,1,1,0,418,2100,NA,28,7.91169052070834
60,1,1,0,450,1800,48,24,7.75061473277041
250,4,5,4,2050,9800,998,125,9.47047137534067
47,1,1,1,400,2200,NA,33,7.87625888230323
170,4,3,4,744,2700,NA,36,8.23668532271246
45,1,1,0,300,1240,0,16,7.350516171834
42,1,1,1,686,3500,123,45,8.3790798892866
164,4,4,3,1840,6000,NA,77,9.04404963225476
70,3,1,1,700,1020,NA,13,7.56734567601324
100,4,3,1,600,2200,NA,33,8.0040315078527
64,2,2,2,1300,4500,440,58,8.74814616962193
68,2,1,1,320,1200,27,16,7.35500192110526
75,2,2,2,620,2500,264,34,8.1371033896393
600,4,4,4,7400,8500,3368,108,9.87204848370075
63,2,2,0,590,1550,152,20,7.74630066223144
145,3,4,3,1200,6000,750,77,8.99069070991623
85,2,2,2,1500,2800,292,36,8.44009614103127
254,4,4,4,3366,9000,1800,115,9.56668526145293
350,4,4,4,1,9000,359,160,9.16125516428569
300,4,4,3,0,3500,584,53,8.32796785830549
296,4,3,2,0,13500,NA,222,9.55754057195237
64,2,2,2,450,2800,30,36,8.10681603894705
133,3,2,0,813,2957,38,38,8.25504890275229
44,1,1,0,350,550,12,7,6.82437367004309
240,3,4,2,0,3000,NA,46,8.10076824307173
70,3,2,1,490,2500,8,37,8.01829613851552
22,1,1,0,302,2050,45,26,7.7931743471892
50,1,1,1,350,950,50,14,7.21890970761906
67,3,2,2,600,2200,NA,33,7.96693349840484
31,1,1,0,430,2300,0,30,7.92334821193015
90,2,1,1,850,3468,191,45,8.42398080969406
109,3,3,1,2000,3800,300,49,8.72420736080056
400,4,2,2,0,2500,NA,41,7.86940171257709
300,4,5,4,0,14000,1167,211,9.64088826045181
284,4,3,3,2340,6000,483,77,9.09391890895893
70,2,1,1,360,2400,NA,36,7.94697135769359
309,4,5,4,2661,6500,NA,84,9.20311432688444
70,2,1,0,0,2100,NA,32,7.72621265050753
360,3,4,1,2300,10000,584,127,9.47355043250348
30,1,1,1,886,1500,0,20,7.78613643778307
80,2,2,2,832,2200,171,28,8.08085641964099
133,4,4,3,1500,7000,800,94,9.14793291184756
38,1,1,1,1620,2800,279,36,8.46294817656384
73,2,2,1,1100,3500,100,45,8.46505743699571
155,3,4,2,1500,2000,150,26,8.20985248130127
63,2,2,1,357,3200,50,41,8.20220843643645
58,2,1,1,0,1400,0,18,7.25770767716004
48,1,1,0,377,3450,0,44,8.26152644839647
210,3,4,3,1700,2790,834,36,8.58690580382754
100,3,2,2,340,1600,183,22,7.67136092319064
94,3,2,2,1337,3570,140,46,8.5358186555394
94,3,3,2,1220,5010,NA,64,8.80836915312227
76,3,1,1,1200,2500,267,32,8.29404964010203
192,3,3,2,2100,7800,634,99,9.27152954028861
217,3,4,3,2884,6500,0,83,9.15567297063388
68,2,1,1,610,1400,35,18,7.63240112660145
110,3,2,2,1145,2400,NA,31,8.24905227417129
95,2,2,1,660,1600,164,22,7.80261806344267
900,4,6,8,0,15000,4417,226,9.8853744971092
