"Timestamp","Bid_Open","Bid_High","Bid_Low","Bid_Close","Bid_Volume","Ask_Open","Ask_High","Ask_Low","Ask_Close","Ask_Volume","Class"
NA,8.9036,8.92367,8.89725,8.91578,322.47,8.92418,8.95137,8.91802,8.93847,396.42,"False"
NA,8.91597,8.91597,8.88271,8.89997,979.43,8.93827,8.94002,8.91248,8.92357,995.91,"False"
NA,8.89847,8.90192,8.88972,8.90148,666.99,8.92493,8.93063,8.90746,8.91882,670.97,"False"
NA,8.90088,8.91157,8.88706,8.90177,897.46,8.92052,8.93183,8.89999,8.91693,889.39,"False"
NA,8.90177,8.90538,8.89138,8.90112,521.66,8.91693,8.93835,8.90584,8.91368,435.39,"False"
NA,8.90112,8.90439,8.89037,8.90158,1850.5699,8.91368,8.93753,8.90488,8.90828,2007.15,"True"
NA,8.90158,8.91887,8.8928,8.89667,1206.66,8.90828,8.93983,8.90428,8.93248,1374.38,"False"
NA,8.89667,8.9006,8.89597,8.90052,259.84,8.93248,8.93249,8.91802,8.92027,317.3,"True"
NA,8.90054,8.91423,8.89478,8.90105,477.85,8.92028,8.93597,8.90823,8.92416,504.8,"True"
NA,8.90888,8.91662,8.89979,8.91287,591.27,8.92382,8.92604,8.91452,8.91752,635.26,"False"
NA,8.91282,8.91288,8.89947,8.90948,767.19,8.91752,8.91773,8.9065,8.91712,1191.5699,"True"
NA,8.90998,8.91797,8.90899,8.91537,984.29,8.91692,8.9289,8.91063,8.91902,1034,"True"
NA,8.91538,8.92262,8.89902,8.92107,772.25,8.91902,8.92942,8.91356,8.92503,858.33,"False"
NA,8.92068,8.92482,8.91687,8.9194,668.65,8.92503,8.92923,8.92183,8.92432,637.29,"True"
NA,8.91948,8.92727,8.91219,8.92196,1035.25,8.92423,8.93237,8.91593,8.92863,1208.59,"True"
NA,8.92196,8.92777,8.92099,8.92678,671.14,8.9281,8.93062,8.92265,8.92903,642.88,"False"
NA,8.92547,8.92658,8.90421,8.91807,783.65,8.92893,8.92953,8.91321,8.92112,774.51,"True"
NA,8.91823,8.92428,8.91452,8.91789,786.51,8.92112,8.93221,8.91662,8.92702,688.12,"True"
NA,8.91789,8.92768,8.91778,8.92478,659.69,8.92702,8.93402,8.92251,8.92933,687.76,"True"
NA,8.92467,8.92773,8.9191,8.92698,663.01,8.92933,8.94062,8.92783,8.93482,677.88,"False"
NA,8.92758,8.92808,8.92219,8.92483,330.55,8.93482,8.93917,8.93087,8.9315,335.96,"True"
NA,8.9276,8.92901,8.9235,8.9278,281.4,8.93418,8.93652,8.93115,8.93562,305.75,"False"
NA,8.92781,8.92838,8.92158,8.92158,353.28,8.93562,8.93707,8.92662,8.93652,407.12,"False"
NA,8.92758,8.92868,8.91695,8.92177,336.3,8.93342,8.94118,8.9247,8.93453,441.45,"False"
NA,8.92197,8.92198,8.91657,8.92097,242.56,8.93433,8.93823,8.92195,8.92211,244.29,"True"
NA,8.91998,8.92573,8.91292,8.92117,388.05,8.93392,8.93393,8.92293,8.93347,387.04,"True"
NA,8.92107,8.92681,8.9159,8.92358,754.04,8.93348,8.93413,8.92327,8.93153,658.25,"False"
NA,8.92347,8.92707,8.91204,8.91247,636.68,8.93178,8.93302,8.91886,8.91887,609.5,"False"
NA,8.91247,8.91653,8.91043,8.91068,631.41,8.91887,8.92048,8.91598,8.91762,635.28,"True"
NA,8.91068,8.91248,8.91043,8.91143,342.03,8.9162,8.92038,8.91438,8.92014,348.72,"True"
NA,8.91143,8.91297,8.91142,8.91213,529.47,8.92014,8.92038,8.91602,8.91882,596.09,"True"
NA,8.91188,8.92498,8.91044,8.91391,540.45,8.91855,8.93011,8.91632,8.92565,540.45,"True"
NA,8.91553,8.92425,8.91517,8.9197,694.26,8.92573,8.92727,8.91891,8.92246,749.57,"True"
NA,8.91963,8.92576,8.91393,8.92057,1540.48,8.92237,8.92876,8.91643,8.9229,1689.21,"False"
NA,8.9202,8.92875,8.91454,8.9156,1655.49,8.92294,8.93195,8.91672,8.91769,1626.85,"False"
NA,8.91565,8.91565,8.90012,8.90404,1696.98,8.91729,8.91743,8.90217,8.90622,1709.83,"True"
NA,8.90404,8.9167,8.89998,8.91646,1952.5601,8.90623,8.91796,8.90242,8.9177,1869.63,"False"
NA,8.91695,8.91695,8.90069,8.90333,3361.8,8.91819,8.91819,8.90207,8.90446,3536.8401,"True"
NA,8.90333,8.94093,8.90151,8.93057,3520.6299,8.9043,8.94253,8.90266,8.93183,3318.71,"False"
NA,8.93062,8.93265,8.92377,8.92457,1193.05,8.93188,8.93422,8.92572,8.92592,1059.0699,"False"
NA,8.92457,8.92922,8.91005,8.92213,2606.78,8.92563,8.93204,8.91267,8.92529,2351.6101,"False"
NA,8.92241,8.92328,8.91136,8.91643,1696.37,8.92517,8.9286,8.91322,8.91852,1761.58,"False"
NA,8.91657,8.91711,8.89291,8.89801,2500.05,8.91855,8.91958,8.89512,8.90023,2236.45,"False"
NA,8.89845,8.90558,8.89247,8.89477,1135.98,8.90024,8.90912,8.89552,8.89875,1170.14,"True"
NA,8.89464,8.89808,8.89143,8.896,903.18,8.8988,8.90229,8.89451,8.90032,889.43,"True"
NA,8.896,8.90476,8.89561,8.9028,1213.75,8.90032,8.90858,8.89961,8.90589,1323.59,"True"
NA,8.9028,8.90618,8.89526,8.9042,562.26,8.90589,8.91043,8.8997,8.90733,585.04,"False"
NA,8.90397,8.91123,8.89843,8.90177,562.62,8.90764,8.91504,8.90354,8.91123,595.75,"False"
NA,8.90198,8.90778,8.89107,8.89228,558.75,8.91142,8.91503,8.89848,8.90548,502.65,"True"
NA,8.89378,8.90563,8.89048,8.90329,767.06,8.90488,8.91107,8.89939,8.90603,618.26,"False"
