"age","height_cm","weight_kg","release_clause_eur","club_joined","wage_eur"
34,170,72,144300000,1.6285536e+18,12.676079399771
32,185,81,197200000,1.4041728e+18,12.5061809416774
36,187,83,83300000,1.6300224e+18,12.5061809416774
29,175,68,238700000,1.5017184e+18,12.5061809416774
30,181,70,232200000,1.4408928e+18,12.7656912906044
28,188,87,2.38e+08,1.4054688e+18,11.7752974217158
22,182,73,373500000,1.5304032e+18,12.345838935722
35,193,93,22300000,1.3094784e+18,11.362114203075
29,187,85,210400000,1.4041728e+18,12.4292201968364
27,188,89,246100000,1.2802752e+18,12.3883983689821
30,168,70,1.85e+08,1.4686272e+18,12.345838935722
33,185,81,135300000,1.2470976e+18,12.7656912906044
29,199,96,181700000,1.5337728e+18,12.4292201968364
28,183,78,197600000,1.44072e+18,12.3013873707787
29,185,84,180400000,1.3735008e+18,12.6443308022626
29,193,92,159100000,1.5147648e+18,12.345838935722
29,175,69,186900000,1.4673312e+18,12.5061809416774
29,175,71,186900000,1.4988672e+18,12.5061809416774
27,188,86,1.81e+08,1.4988672e+18,12.2060776455177
26,177,75,186300000,1.4357088e+18,11.9829353441964
28,191,91,157900000,1.5319584e+18,12.1547846142867
22,196,90,2.3e+08,1.6263072e+18,11.6082447356423
35,184,82,44400000,1.6257024e+18,11.6526961029598
34,182,83,91200000,1.600992e+18,11.8130374648005
31,183,76,153800000,1.4055552e+18,12.6443308022626
28,191,94,1.73e+08,1.6287264e+18,12.4684407561441
34,185,80,28700000,1.5673824e+18,11.7752974217158
26,170,69,206900000,1.436832e+18,12.5776396502326
26,179,69,206900000,1.5803424e+18,12.4292201968364
20,194,94,244100000,1.5778368e+18,11.6082447356423
33,173,70,104600000,1.6250976e+18,12.4684407561441
34,188,82,25700000,1.3463712e+18,11.7360770162524
35,172,66,65600000,1.3437792e+18,12.1547846142867
33,180,69,91600000,1.4388192e+18,11.9829353441964
31,195,90,69300000,1.5004224e+18,11.5617251529038
31,185,76,108900000,1.2183264e+18,11.8494048444231
31,185,85,114800000,1.4695776e+18,11.7360770162524
28,191,84,147100000,1.4707008e+18,12.3013873707787
28,165,60,147100000,1.3425696e+18,11.9511868474935
27,183,75,174200000,1.374192e+18,11.8130374648005
26,189,82,160400000,1.5304032e+18,11.8494048444231
27,177,75,160400000,1.4357088e+18,11.9829353441964
27,178,64,160700000,1.5005952e+18,12.072546967175
24,180,74,253900000,1.5619392e+18,12.254867571593
22,180,69,219500000,1.444176e+18,11.9183972397228
21,180,76,224300000,1.6269984e+18,11.9183972397228
24,187,82,197300000,1.6013376e+18,12.043559598368
36,187,85,19800000,1.120176e+18,11.3851034570321
36,193,92,12800000,1.3411008e+18,11.2644769261024
32,191,96,74800000,1.5619392e+18,11.4616426968431
32,170,68,96400000,1.3411008e+18,12.2060776455177
30,174,70,120300000,1.6003872e+18,12.1007176854125
