"Variable","Correlation_with_M"
"lread",0.0432769574991165
"lwrite",0.0195375354922659
"scall",0.259289773478049
"sread",0.196185055677291
"swrite",0.183775001984295
"fork",0.103463714259465
"exec",0.0651769213945052
"rchar",0.0964968652381251
"wchar",0.0781643374090381
"pgout",0.0594642164170448
"ppgout",0.0570227992634481
"pgfree",0.0465955916195102
"pgscan",0.0288890678009339
"atch",0.00911801963341729
"pgin",0.0691735930974295
"ppgin",0.0695630608619334
"pflt",0.117872297880366
"vflt",0.124009416852113
"runqsz",-0.00151931193014904
"freemem",-0.0837081319337149
"freeswap",-0.0753892718615208
"usr",-0.0879208961914657
