"Variable","Correlation_with_M"
"lread",-0.00440224267019527
"lwrite",0.0102836090185237
"scall",-0.0155871008912329
"sread",-0.0205186244588291
"swrite",-0.0155669850358367
"fork",-0.00708152587108612
"exec",-0.00777522330992912
"rchar",-0.0153101059531229
"wchar",-0.0211163367049569
"pgout",0.00199571967420864
"ppgout",-0.00263446961681063
"pgfree",-0.0110379098352782
"pgscan",-0.0146131864527491
"atch",-0.00407142879297004
"pgin",-0.0231631043106676
"ppgin",-0.0278849513784445
"pflt",-0.00713458031715355
"vflt",-0.00712291792376314
"runqsz",-0.00200896725504407
"freemem",0.00298025503975018
"freeswap",0.00996764520007984
"usr",0.0165533100801267
