"Variable","Correlation_with_M"
"lread",-0.0900681543116309
"lwrite",-0.0701792366726831
"scall",-0.212649501480984
"sread",-0.188599056472494
"swrite",-0.159877579282568
"fork",-0.217328692221789
"exec",-0.166764240991721
"rchar",-0.162673206491079
"wchar",-0.104317021149542
"pgout",-0.103168903726089
"ppgout",-0.10662421370897
"pgfree",-0.101666148590643
"pgscan",-0.0858830745697244
"atch",-0.0414738621661961
"pgin",-0.124745183169905
"ppgin",-0.126240387851259
"pflt",-0.227005718745215
"vflt",-0.242477336512924
"runqsz",-0.0909405634652729
"freemem",0.133795482728875
"freeswap",0.167667247596374
