"Variable","Correlation_with_M"
"lineNo",0.00548025003074363
"assgNo",0.0050434436038437
"prevFixDur",-0.0182922772941462
"firstfixDur",-0.0200007517391059
"firstPassFixDur",-0.0404063254428548
"nextFixDur",-0.00982540697478956
"firstSaccLen",-0.0145620225129208
"lastSaccLen",0.120920974512753
"prevFixPos",-0.0597127535453361
"landingPos",-0.0323955699999672
"leavingPos",-0.035402711183007
"totalFixDur",-0.0479469670823978
"meanFixDur",-0.0262053958940431
"regressLen",0.0303954231330508
"regressDur",-0.0130622525068576
"pupilDiamMax",-0.0148857165631579
"pupilDiamLag",-0.00425500030704947
"timePrtctg",-0.0721470720568753
"titleNo",0.00406112765737633
"wordNo",0.324454830113783
"label",-0.0118282711541515
