"Variable","Correlation_with_M"
"lineNo",0.00929077374440235
"assgNo",0.00980830205057679
"prevFixDur",-0.00983577691964822
"firstfixDur",-0.0118934826900225
"firstPassFixDur",-0.014091677475513
"nextFixDur",-0.0182059196822894
"firstSaccLen",-0.0086006754162719
"lastSaccLen",0.00416957834376511
"prevFixPos",-0.0194589244070535
"landingPos",0.01280011860293
"leavingPos",-0.00749437412478854
"totalFixDur",-0.0285164102011602
"meanFixDur",-0.0190597444118286
"regressLen",-0.0141330163900198
"regressDur",3.90411317582676e-05
"pupilDiamMax",-0.0178493455003924
"pupilDiamLag",-0.00902625093354341
"timePrtctg",-0.0223243452358103
"titleNo",0.0151706736954036
"wordNo",-0.00261719780347917
"label",-0.00688418988111897
