"Variable","Correlation_with_M"
"lineNo",-0.0213855515276826
"assgNo",-0.0208976590920761
"prevFixDur",0.0299016830946317
"firstfixDur",0.0297928176268415
"firstPassFixDur",0.0299847062621491
"nextFixDur",0.0185618620028509
"firstSaccLen",-0.0171131255268841
"lastSaccLen",0.00971684115575859
"prevFixPos",-0.0106486796053243
"landingPos",-0.00972877755822634
"leavingPos",0.00688838479600228
"totalFixDur",0.0333174832226575
"meanFixDur",0.0342796608751958
"regressLen",0.0281524035272634
"regressDur",0.0320453807715782
"pupilDiamLag",0.14286301684779
"timePrtctg",0.0228403172633221
"titleNo",0.00703615241356673
"wordNo",0.00911023680922471
"label",-0.0195052046631704
